"ID";"age";"job";"marital";"education";"default";"balance";"housing";"loan";"contact"
30267;44;"management";"married";"tertiary";"no";673;"no";"no";"cellular"
38483;42;"services";"married";"secondary";"no";1370;"yes";"no";"cellular"
41522;45;"admin.";"married";"secondary";"no";129;"yes";"no";"cellular"
35321;47;"technician";"divorced";"tertiary";"no";477;"yes";"no";"telephone"
35218;33;"blue-collar";"single";"secondary";"no";381;"yes";"no";"cellular"
19591;32;"technician";"married";"secondary";"no";150;"no";"yes";"cellular"
43822;32;"admin.";"single";"secondary";"no";554;"yes";"no";"cellular"
30503;42;"management";"divorced";"tertiary";"no";1775;"yes";"no";"telephone"
22412;36;"management";"single";"tertiary";"no";0;"no";"no";"cellular"
4457;30;"services";"single";"secondary";"no";695;"yes";"no";"unknown"
27627;32;"services";"married";"secondary";"no";3181;"yes";"no";"cellular"
38331;39;"management";"married";"primary";"no";197;"yes";"no";"cellular"
44883;39;"admin.";"married";"tertiary";"no";1322;"yes";"no";"cellular"
33136;47;"management";"married";"primary";"no";1122;"yes";"no";"cellular"
35245;35;"blue-collar";"single";"primary";"no";1147;"yes";"yes";"telephone"
10822;36;"self-employed";"single";"secondary";"no";652;"no";"no";"unknown"
31153;26;"blue-collar";"single";"secondary";"no";834;"no";"no";"cellular"
31564;38;"technician";"married";"secondary";"no";275;"yes";"no";"cellular"
37421;25;"blue-collar";"single";"primary";"no";-289;"yes";"no";"telephone"
24694;48;"technician";"married";"tertiary";"no";1036;"yes";"yes";"telephone"
13586;52;"management";"married";"tertiary";"no";-1112;"yes";"no";"cellular"
44884;36;"self-employed";"married";"tertiary";"no";980;"no";"no";"cellular"
3474;32;"management";"single";"secondary";"no";6;"yes";"no";"unknown"
35934;32;"blue-collar";"single";"secondary";"no";541;"yes";"no";"cellular"
36734;45;"blue-collar";"married";"primary";"no";353;"yes";"no";"cellular"
33053;49;"technician";"married";"unknown";"no";1359;"no";"no";"cellular"
33423;34;"management";"married";"tertiary";"no";606;"no";"no";"cellular"
41561;46;"management";"married";"tertiary";"no";7331;"no";"no";"cellular"
26082;59;"retired";"married";"secondary";"no";17769;"no";"no";"cellular"
30322;52;"services";"divorced";"secondary";"no";-57;"no";"no";"cellular"
38738;38;"blue-collar";"married";"primary";"no";1428;"yes";"no";"telephone"
40296;24;"admin.";"single";"tertiary";"no";106;"no";"yes";"cellular"
34573;29;"entrepreneur";"married";"secondary";"no";178;"yes";"no";"cellular"
30050;30;"management";"married";"tertiary";"no";367;"no";"no";"cellular"
43230;46;"admin.";"married";"secondary";"no";0;"yes";"no";"cellular"
12219;56;"unknown";"married";"unknown";"no";778;"no";"no";"unknown"
24703;37;"management";"married";"secondary";"no";121;"no";"yes";"cellular"
18631;32;"blue-collar";"married";"secondary";"no";139;"yes";"yes";"cellular"
3307;51;"management";"single";"tertiary";"no";6510;"no";"no";"unknown"
4491;31;"admin.";"single";"secondary";"no";121;"yes";"no";"unknown"
28469;51;"housemaid";"single";"primary";"no";723;"no";"no";"cellular"
30516;33;"management";"married";"tertiary";"no";377;"yes";"no";"cellular"
11908;37;"blue-collar";"married";"primary";"no";1779;"yes";"no";"unknown"
7875;27;"services";"married";"secondary";"no";271;"yes";"no";"unknown"
12160;38;"services";"divorced";"unknown";"no";6360;"no";"no";"unknown"
26362;50;"blue-collar";"married";"primary";"no";808;"yes";"no";"cellular"
30670;50;"management";"married";"tertiary";"no";346;"no";"no";"cellular"
20507;53;"admin.";"married";"secondary";"no";8449;"no";"no";"cellular"
22840;32;"technician";"single";"secondary";"no";309;"yes";"yes";"cellular"
381;38;"blue-collar";"married";"secondary";"no";757;"yes";"no";"unknown"
35758;48;"services";"divorced";"secondary";"no";62;"yes";"no";"cellular"
7816;32;"admin.";"married";"secondary";"no";305;"yes";"no";"unknown"
29590;51;"housemaid";"married";"primary";"no";605;"no";"no";"cellular"
35560;45;"admin.";"married";"secondary";"yes";-106;"yes";"yes";"cellular"
17263;40;"technician";"single";"secondary";"no";134;"yes";"yes";"cellular"
2166;29;"blue-collar";"married";"secondary";"no";177;"yes";"no";"unknown"
8188;41;"blue-collar";"married";"secondary";"no";795;"yes";"no";"unknown"
29506;54;"technician";"divorced";"secondary";"no";2156;"yes";"no";"cellular"
18510;54;"admin.";"married";"secondary";"no";812;"yes";"yes";"cellular"
11719;45;"blue-collar";"single";"primary";"no";1006;"no";"no";"unknown"
34047;52;"self-employed";"married";"tertiary";"no";6657;"no";"no";"telephone"
27063;31;"entrepreneur";"single";"secondary";"no";159;"yes";"no";"cellular"
35827;33;"admin.";"single";"tertiary";"no";1;"yes";"no";"cellular"
11958;47;"management";"married";"tertiary";"no";3556;"yes";"no";"unknown"
35121;35;"management";"married";"tertiary";"no";802;"yes";"no";"cellular"
20110;44;"technician";"married";"secondary";"no";5163;"no";"no";"cellular"
33590;32;"management";"single";"tertiary";"no";0;"yes";"no";"cellular"
14390;42;"management";"married";"tertiary";"no";831;"yes";"no";"cellular"
36282;50;"admin.";"divorced";"secondary";"no";-458;"yes";"no";"cellular"
3391;35;"blue-collar";"single";"secondary";"no";487;"yes";"no";"unknown"
40239;26;"self-employed";"single";"tertiary";"no";1444;"no";"no";"cellular"
14636;36;"blue-collar";"married";"secondary";"no";0;"no";"no";"cellular"
18933;53;"admin.";"married";"tertiary";"no";1379;"no";"no";"cellular"
22890;35;"technician";"married";"secondary";"no";31;"no";"no";"cellular"
37808;34;"self-employed";"single";"tertiary";"no";1272;"yes";"no";"cellular"
33592;37;"blue-collar";"married";"secondary";"no";504;"yes";"no";"cellular"
32450;39;"admin.";"divorced";"secondary";"no";284;"yes";"yes";"cellular"
5222;37;"technician";"single";"secondary";"no";363;"yes";"no";"unknown"
10593;36;"unemployed";"single";"secondary";"no";490;"yes";"yes";"unknown"
28846;54;"admin.";"married";"primary";"no";0;"yes";"no";"cellular"
5023;31;"management";"married";"tertiary";"no";1755;"yes";"no";"unknown"
25790;52;"blue-collar";"divorced";"primary";"no";3990;"no";"no";"cellular"
45071;49;"technician";"married";"secondary";"no";2400;"no";"no";"cellular"
3227;42;"technician";"single";"tertiary";"no";2157;"yes";"yes";"unknown"
9063;37;"self-employed";"married";"tertiary";"no";144;"yes";"no";"unknown"
33378;30;"blue-collar";"married";"secondary";"no";322;"yes";"no";"cellular"
17571;57;"admin.";"divorced";"secondary";"no";3100;"no";"yes";"cellular"
18860;48;"admin.";"married";"secondary";"no";2262;"no";"no";"cellular"
23515;52;"management";"married";"tertiary";"no";-542;"no";"no";"cellular"
27350;40;"management";"married";"secondary";"no";9047;"yes";"no";"cellular"
2140;26;"blue-collar";"single";"secondary";"no";199;"yes";"yes";"unknown"
21883;32;"management";"married";"secondary";"no";0;"no";"no";"cellular"
16802;42;"blue-collar";"married";"secondary";"no";0;"yes";"no";"cellular"
5432;39;"unemployed";"married";"secondary";"no";-455;"yes";"no";"unknown"
22141;30;"management";"married";"tertiary";"no";4948;"no";"no";"cellular"
18375;59;"retired";"married";"primary";"no";3079;"no";"no";"telephone"
16982;47;"services";"divorced";"secondary";"no";-116;"no";"yes";"cellular"
4880;31;"management";"married";"tertiary";"no";1343;"yes";"yes";"unknown"
7453;56;"services";"married";"secondary";"no";705;"yes";"no";"unknown"
26338;32;"self-employed";"married";"tertiary";"no";266;"no";"yes";"cellular"
43076;53;"technician";"married";"secondary";"no";4807;"no";"no";"telephone"
22878;45;"services";"married";"secondary";"no";222;"no";"no";"cellular"
21261;51;"technician";"divorced";"secondary";"no";2323;"yes";"yes";"cellular"
9200;59;"management";"married";"primary";"no";3694;"yes";"no";"unknown"
12044;29;"management";"single";"tertiary";"no";1422;"yes";"yes";"unknown"
13928;47;"services";"married";"secondary";"no";367;"yes";"no";"cellular"
23257;46;"management";"married";"tertiary";"no";0;"no";"no";"cellular"
34181;31;"student";"single";"tertiary";"no";0;"no";"no";"cellular"
23455;41;"management";"married";"tertiary";"no";2676;"no";"no";"cellular"
42300;25;"technician";"single";"secondary";"no";5695;"no";"no";"cellular"
22293;40;"technician";"married";"secondary";"no";318;"no";"no";"cellular"
31219;29;"management";"single";"tertiary";"no";92;"no";"no";"cellular"
36648;39;"blue-collar";"married";"primary";"no";476;"yes";"no";"cellular"
25782;48;"blue-collar";"married";"secondary";"no";-202;"yes";"yes";"cellular"
29202;43;"management";"married";"secondary";"yes";16;"no";"no";"cellular"
16382;26;"management";"single";"tertiary";"no";33;"no";"no";"cellular"
33661;37;"management";"divorced";"secondary";"no";1448;"yes";"no";"cellular"
32893;49;"entrepreneur";"married";"secondary";"no";687;"yes";"no";"cellular"
8802;30;"blue-collar";"married";"secondary";"no";578;"yes";"yes";"unknown"
29303;26;"self-employed";"single";"tertiary";"no";458;"yes";"yes";"cellular"
26086;31;"self-employed";"single";"tertiary";"no";217;"no";"no";"cellular"
24301;42;"technician";"single";"tertiary";"no";35;"yes";"yes";"cellular"
38514;30;"blue-collar";"married";"secondary";"no";3;"no";"no";"cellular"
17001;30;"technician";"divorced";"tertiary";"no";317;"yes";"no";"cellular"
28293;58;"retired";"divorced";"tertiary";"no";499;"yes";"yes";"cellular"
12229;35;"blue-collar";"married";"secondary";"no";306;"no";"no";"unknown"
16532;53;"technician";"married";"secondary";"no";944;"yes";"no";"cellular"
14106;56;"technician";"married";"secondary";"no";107;"no";"no";"telephone"
44845;23;"technician";"single";"secondary";"no";283;"yes";"no";"cellular"
37247;53;"admin.";"married";"secondary";"no";8892;"yes";"no";"cellular"
33777;37;"management";"married";"tertiary";"no";0;"yes";"no";"cellular"
24193;53;"technician";"married";"secondary";"no";910;"no";"no";"cellular"
28242;55;"retired";"married";"secondary";"no";0;"no";"no";"cellular"
17430;33;"unemployed";"married";"tertiary";"no";271;"yes";"yes";"cellular"
16659;52;"blue-collar";"married";"primary";"no";117;"no";"yes";"cellular"
40075;32;"management";"married";"tertiary";"no";4945;"no";"no";"cellular"
11496;39;"housemaid";"married";"tertiary";"no";4;"yes";"yes";"unknown"
35524;31;"blue-collar";"married";"secondary";"no";1664;"yes";"no";"cellular"
26673;36;"admin.";"married";"secondary";"no";1954;"yes";"yes";"cellular"
36955;38;"blue-collar";"married";"primary";"no";1455;"yes";"no";"telephone"
16174;59;"services";"married";"secondary";"no";292;"no";"yes";"cellular"
9873;57;"housemaid";"married";"primary";"no";473;"no";"no";"unknown"
12721;30;"services";"single";"secondary";"no";0;"yes";"no";"cellular"
11836;39;"admin.";"single";"secondary";"no";470;"yes";"no";"unknown"
42916;29;"housemaid";"single";"tertiary";"no";19;"no";"no";"cellular"
24371;52;"management";"married";"tertiary";"no";2578;"no";"no";"cellular"
30416;49;"blue-collar";"married";"primary";"no";1;"no";"yes";"cellular"
12191;30;"admin.";"married";"secondary";"no";4;"no";"no";"unknown"
37927;31;"blue-collar";"married";"primary";"no";42;"yes";"no";"cellular"
34719;47;"entrepreneur";"married";"tertiary";"no";0;"no";"no";"cellular"
21709;32;"technician";"married";"tertiary";"no";60;"no";"no";"cellular"
19704;32;"services";"married";"secondary";"no";3360;"yes";"yes";"cellular"
40059;37;"services";"single";"secondary";"no";1045;"no";"no";"cellular"
31154;28;"management";"single";"tertiary";"no";3611;"no";"no";"cellular"
7276;37;"blue-collar";"married";"secondary";"no";-141;"yes";"yes";"unknown"
13291;30;"technician";"single";"secondary";"no";137;"no";"yes";"cellular"
34464;46;"admin.";"single";"tertiary";"no";2889;"yes";"no";"cellular"
30246;31;"technician";"single";"tertiary";"no";1109;"no";"no";"cellular"
9404;58;"technician";"divorced";"secondary";"no";797;"yes";"no";"unknown"
15187;40;"technician";"married";"tertiary";"no";0;"yes";"no";"cellular"
19187;34;"technician";"married";"tertiary";"no";218;"no";"no";"cellular"
3049;51;"blue-collar";"married";"primary";"no";111;"yes";"no";"unknown"
44057;32;"management";"single";"tertiary";"no";12569;"no";"no";"cellular"
38756;25;"services";"single";"secondary";"no";-141;"yes";"no";"cellular"
17357;34;"admin.";"married";"tertiary";"no";262;"yes";"no";"cellular"
17642;36;"housemaid";"married";"primary";"no";125;"yes";"no";"cellular"
2340;22;"services";"single";"secondary";"no";395;"yes";"no";"unknown"
34223;49;"admin.";"married";"secondary";"no";3620;"no";"no";"cellular"
35534;42;"unemployed";"married";"secondary";"no";356;"yes";"no";"cellular"
12586;51;"blue-collar";"divorced";"unknown";"no";0;"no";"yes";"unknown"
1559;39;"management";"married";"tertiary";"no";429;"yes";"no";"unknown"
17193;30;"management";"married";"tertiary";"no";1235;"yes";"no";"cellular"
43100;35;"management";"married";"tertiary";"no";1380;"no";"no";"cellular"
17099;27;"admin.";"married";"secondary";"no";158;"yes";"no";"cellular"
24704;58;"blue-collar";"divorced";"secondary";"no";644;"no";"yes";"cellular"
12499;30;"admin.";"married";"tertiary";"no";1717;"no";"yes";"unknown"
44280;82;"retired";"married";"primary";"no";243;"no";"no";"cellular"
31926;41;"blue-collar";"married";"primary";"no";3658;"yes";"no";"cellular"
5175;32;"blue-collar";"married";"secondary";"no";783;"yes";"no";"unknown"
5740;42;"blue-collar";"single";"primary";"no";-68;"yes";"yes";"unknown"
35138;56;"entrepreneur";"divorced";"tertiary";"no";151;"yes";"no";"cellular"
41966;35;"technician";"single";"secondary";"no";183;"no";"no";"cellular"
6920;27;"admin.";"single";"secondary";"no";242;"yes";"yes";"unknown"
32762;49;"blue-collar";"married";"primary";"no";816;"yes";"no";"cellular"
20458;33;"technician";"single";"secondary";"no";827;"yes";"no";"cellular"
15940;37;"admin.";"divorced";"tertiary";"no";0;"yes";"yes";"cellular"
24988;39;"management";"divorced";"tertiary";"no";5009;"yes";"no";"cellular"
23481;43;"management";"married";"tertiary";"no";228;"no";"no";"cellular"
34380;27;"management";"single";"tertiary";"no";88;"no";"no";"cellular"
30392;34;"management";"single";"tertiary";"no";84;"no";"no";"cellular"
43089;39;"management";"single";"tertiary";"no";763;"no";"no";"cellular"
3181;32;"management";"single";"tertiary";"no";0;"yes";"no";"unknown"
12660;43;"blue-collar";"married";"secondary";"no";105;"no";"yes";"cellular"
33778;81;"retired";"married";"primary";"no";122;"no";"no";"telephone"
42172;53;"admin.";"married";"secondary";"no";10541;"no";"no";"cellular"
1714;31;"unemployed";"single";"tertiary";"no";133;"yes";"no";"unknown"
33429;32;"technician";"married";"secondary";"no";3322;"yes";"no";"cellular"
8934;49;"blue-collar";"married";"primary";"no";266;"yes";"no";"unknown"
35177;28;"blue-collar";"single";"secondary";"yes";87;"yes";"no";"cellular"
10666;57;"technician";"divorced";"secondary";"no";145;"no";"yes";"unknown"
12056;43;"management";"married";"tertiary";"no";445;"no";"yes";"unknown"
14855;57;"retired";"married";"secondary";"no";975;"no";"no";"cellular"
20613;32;"technician";"single";"tertiary";"no";1325;"no";"no";"cellular"
25917;30;"entrepreneur";"married";"secondary";"no";946;"yes";"no";"cellular"
31482;38;"admin.";"single";"secondary";"no";10;"no";"no";"cellular"
22742;37;"technician";"married";"tertiary";"no";905;"yes";"no";"cellular"
24696;35;"technician";"divorced";"tertiary";"no";825;"yes";"no";"cellular"
13691;27;"unemployed";"single";"primary";"no";9;"no";"yes";"cellular"
6767;36;"technician";"married";"secondary";"no";1731;"yes";"yes";"unknown"
30743;34;"admin.";"married";"tertiary";"no";457;"no";"no";"cellular"
32506;56;"retired";"married";"secondary";"no";3738;"yes";"no";"cellular"
12203;56;"entrepreneur";"married";"unknown";"no";575;"no";"no";"unknown"
41283;28;"management";"single";"tertiary";"no";730;"yes";"no";"cellular"
21414;45;"technician";"married";"secondary";"no";-374;"no";"yes";"cellular"
40922;64;"retired";"married";"secondary";"no";1370;"no";"no";"cellular"
40142;36;"management";"single";"tertiary";"no";2163;"no";"no";"cellular"
37315;32;"blue-collar";"married";"secondary";"no";-64;"yes";"no";"cellular"
20252;30;"technician";"single";"secondary";"no";3096;"yes";"no";"cellular"
20593;47;"management";"married";"tertiary";"no";434;"no";"no";"cellular"
4001;27;"admin.";"single";"unknown";"no";56;"yes";"no";"unknown"
24405;56;"management";"married";"tertiary";"no";2551;"yes";"no";"cellular"
19878;49;"entrepreneur";"married";"primary";"no";10772;"no";"no";"cellular"
39377;33;"management";"married";"tertiary";"no";81;"yes";"no";"cellular"
35041;36;"technician";"single";"secondary";"no";634;"yes";"no";"cellular"
34446;31;"management";"divorced";"tertiary";"yes";10;"yes";"yes";"cellular"
43969;36;"management";"single";"tertiary";"no";538;"no";"no";"cellular"
30904;30;"unemployed";"single";"primary";"no";15261;"no";"no";"cellular"
34561;39;"housemaid";"married";"secondary";"no";1372;"yes";"yes";"cellular"
19607;52;"blue-collar";"married";"primary";"no";1515;"no";"no";"cellular"
16676;50;"admin.";"single";"secondary";"no";26;"no";"yes";"telephone"
16429;43;"housemaid";"married";"secondary";"no";743;"no";"yes";"cellular"
20762;53;"retired";"married";"tertiary";"no";7132;"no";"no";"cellular"
26008;44;"entrepreneur";"married";"secondary";"no";6649;"yes";"no";"cellular"
3042;47;"services";"married";"secondary";"no";1549;"yes";"no";"unknown"
33027;26;"admin.";"single";"secondary";"no";1375;"yes";"no";"cellular"
37772;33;"technician";"single";"secondary";"no";716;"yes";"no";"cellular"
715;40;"admin.";"single";"unknown";"no";419;"yes";"no";"unknown"
2253;42;"management";"married";"primary";"no";470;"yes";"no";"unknown"
21076;59;"management";"married";"secondary";"no";1021;"no";"no";"cellular"
30548;46;"entrepreneur";"married";"secondary";"no";122;"no";"no";"cellular"
16218;53;"management";"married";"unknown";"no";527;"yes";"no";"cellular"
44442;45;"blue-collar";"single";"secondary";"no";0;"no";"no";"cellular"
10569;51;"housemaid";"married";"primary";"no";13292;"no";"no";"unknown"
16973;52;"retired";"married";"secondary";"no";5423;"no";"yes";"cellular"
24894;46;"unemployed";"single";"secondary";"no";836;"no";"no";"cellular"
17207;46;"admin.";"married";"secondary";"no";31;"yes";"yes";"telephone"
16447;50;"entrepreneur";"married";"tertiary";"no";-168;"yes";"no";"cellular"
12380;57;"blue-collar";"married";"primary";"no";-238;"no";"no";"unknown"
26256;39;"admin.";"married";"secondary";"no";3655;"no";"no";"cellular"
4955;37;"blue-collar";"single";"secondary";"no";13156;"yes";"no";"unknown"
28284;47;"technician";"divorced";"secondary";"no";440;"no";"no";"cellular"
33701;65;"retired";"married";"tertiary";"no";1973;"no";"no";"telephone"
17473;29;"management";"single";"tertiary";"no";1895;"no";"no";"cellular"
41253;18;"student";"single";"secondary";"no";5;"no";"no";"cellular"
41606;26;"management";"single";"tertiary";"no";1646;"no";"no";"cellular"
31963;31;"blue-collar";"married";"secondary";"no";1406;"yes";"yes";"cellular"
20587;34;"self-employed";"married";"tertiary";"no";0;"no";"no";"cellular"
27224;33;"blue-collar";"divorced";"secondary";"no";86;"no";"yes";"cellular"
18048;36;"management";"married";"tertiary";"no";96;"no";"no";"cellular"
11720;38;"technician";"married";"secondary";"no";0;"yes";"no";"unknown"
18780;42;"admin.";"married";"secondary";"no";247;"yes";"no";"cellular"
16133;42;"technician";"married";"secondary";"no";33;"no";"no";"telephone"
38789;33;"blue-collar";"married";"secondary";"no";523;"yes";"no";"cellular"
26235;35;"self-employed";"single";"tertiary";"no";935;"yes";"no";"cellular"
29567;30;"management";"single";"tertiary";"no";409;"no";"no";"cellular"
115;59;"retired";"divorced";"primary";"no";81;"yes";"no";"unknown"
37271;31;"blue-collar";"married";"primary";"no";1127;"yes";"no";"telephone"
9743;58;"housemaid";"married";"tertiary";"no";1280;"no";"yes";"unknown"
12855;31;"housemaid";"married";"unknown";"yes";-6;"no";"yes";"telephone"
39813;53;"admin.";"married";"secondary";"no";2851;"no";"yes";"telephone"
20238;32;"admin.";"married";"secondary";"no";344;"yes";"yes";"cellular"
32264;39;"services";"divorced";"secondary";"no";1957;"yes";"yes";"cellular"
37231;37;"management";"married";"tertiary";"no";1852;"no";"no";"cellular"
9862;36;"blue-collar";"single";"unknown";"no";2054;"no";"no";"unknown"
26855;46;"blue-collar";"married";"primary";"no";6150;"yes";"no";"cellular"
40130;58;"retired";"married";"primary";"no";1980;"no";"no";"cellular"
29428;54;"blue-collar";"married";"secondary";"no";5372;"yes";"no";"telephone"
27890;42;"housemaid";"single";"secondary";"no";578;"no";"no";"telephone"
18118;35;"unemployed";"single";"secondary";"no";0;"no";"no";"cellular"
43684;23;"student";"single";"unknown";"no";2530;"no";"no";"cellular"
41235;53;"retired";"divorced";"tertiary";"no";-309;"yes";"no";"cellular"
27748;28;"housemaid";"married";"primary";"no";5;"no";"no";"cellular"
25215;49;"management";"divorced";"tertiary";"no";0;"yes";"no";"telephone"
6143;33;"technician";"single";"secondary";"no";810;"yes";"no";"unknown"
36044;33;"blue-collar";"married";"primary";"no";62;"yes";"no";"telephone"
11322;38;"services";"married";"secondary";"no";393;"no";"no";"unknown"
12142;39;"admin.";"divorced";"secondary";"no";32;"no";"yes";"unknown"
5297;35;"management";"single";"tertiary";"no";643;"yes";"no";"unknown"
42130;36;"management";"single";"tertiary";"no";62;"yes";"no";"cellular"
26608;53;"unemployed";"married";"secondary";"no";1561;"no";"no";"cellular"
3740;58;"admin.";"married";"primary";"no";879;"yes";"no";"unknown"
37598;37;"services";"divorced";"secondary";"no";241;"yes";"no";"cellular"
5843;33;"blue-collar";"married";"secondary";"no";-45;"yes";"no";"unknown"
39245;38;"blue-collar";"married";"primary";"no";5643;"yes";"no";"cellular"
38087;29;"blue-collar";"married";"secondary";"no";59;"yes";"yes";"cellular"
38943;44;"blue-collar";"married";"primary";"no";401;"yes";"no";"cellular"
42709;42;"admin.";"married";"secondary";"no";383;"no";"no";"cellular"
31008;53;"management";"married";"tertiary";"no";8627;"no";"no";"cellular"
38316;38;"blue-collar";"married";"primary";"no";1099;"yes";"no";"cellular"
28448;27;"admin.";"single";"secondary";"no";671;"yes";"no";"cellular"
21016;50;"management";"single";"tertiary";"no";490;"no";"no";"cellular"
7592;35;"management";"married";"tertiary";"no";-65;"yes";"no";"unknown"
36175;31;"student";"married";"tertiary";"no";0;"no";"no";"cellular"
29988;29;"unemployed";"married";"tertiary";"no";53;"no";"no";"cellular"
25347;36;"entrepreneur";"divorced";"tertiary";"no";299;"yes";"no";"cellular"
33176;34;"blue-collar";"single";"secondary";"no";550;"yes";"no";"cellular"
17341;32;"admin.";"married";"secondary";"no";2468;"yes";"yes";"cellular"
26093;31;"services";"married";"secondary";"no";1020;"yes";"no";"cellular"
2122;32;"entrepreneur";"married";"unknown";"no";227;"yes";"no";"unknown"
8120;32;"technician";"single";"tertiary";"no";257;"yes";"no";"unknown"
38751;57;"blue-collar";"married";"secondary";"no";1521;"yes";"yes";"cellular"
36392;43;"blue-collar";"married";"primary";"no";582;"yes";"no";"telephone"
42853;44;"technician";"single";"tertiary";"no";678;"no";"no";"cellular"
14504;47;"management";"married";"primary";"no";530;"yes";"no";"cellular"
20456;49;"management";"married";"secondary";"no";0;"no";"no";"cellular"
29782;33;"technician";"married";"secondary";"no";0;"yes";"no";"cellular"
38088;52;"management";"married";"tertiary";"no";751;"no";"no";"cellular"
32288;46;"blue-collar";"single";"primary";"no";96;"yes";"no";"cellular"
7258;33;"services";"married";"secondary";"no";-49;"yes";"no";"unknown"
3791;30;"technician";"single";"secondary";"no";677;"yes";"no";"unknown"
910;43;"self-employed";"married";"primary";"no";66;"yes";"no";"unknown"
19732;51;"housemaid";"married";"primary";"no";1138;"no";"no";"cellular"
1447;57;"entrepreneur";"married";"unknown";"no";618;"yes";"no";"unknown"
20003;40;"technician";"married";"secondary";"no";8844;"no";"no";"cellular"
29592;32;"technician";"single";"secondary";"no";0;"no";"no";"cellular"
4029;35;"admin.";"single";"secondary";"no";368;"yes";"no";"unknown"
27653;51;"self-employed";"married";"tertiary";"no";2235;"no";"no";"cellular"
31976;38;"blue-collar";"married";"secondary";"no";1663;"yes";"no";"cellular"
238;37;"blue-collar";"married";"primary";"no";0;"yes";"no";"unknown"
42364;38;"technician";"married";"secondary";"no";6728;"no";"no";"cellular"
37124;34;"blue-collar";"married";"secondary";"no";1089;"yes";"no";"cellular"
9954;37;"admin.";"married";"primary";"no";3913;"yes";"no";"unknown"
10166;36;"management";"single";"tertiary";"no";0;"no";"no";"unknown"
34693;53;"services";"married";"primary";"no";2618;"yes";"no";"cellular"
34502;31;"technician";"single";"secondary";"no";271;"yes";"no";"cellular"
27664;54;"management";"married";"primary";"no";5787;"no";"no";"telephone"
6273;46;"technician";"married";"secondary";"no";-337;"yes";"no";"unknown"
13560;56;"retired";"married";"primary";"no";122;"no";"yes";"cellular"
9570;51;"housemaid";"married";"primary";"no";1275;"no";"no";"unknown"
34668;48;"blue-collar";"married";"secondary";"no";2345;"yes";"yes";"cellular"
33792;67;"retired";"single";"tertiary";"no";3377;"no";"no";"telephone"
22988;30;"management";"single";"tertiary";"no";15;"no";"yes";"cellular"
41223;18;"student";"single";"unknown";"no";35;"no";"no";"telephone"
11315;45;"services";"single";"secondary";"no";359;"yes";"no";"unknown"
