"ID";"day";"month";"duration";"campaign";"y"
4496;20;"may";181;1;"no"
6674;28;"may";64;4;"no"
9896;9;"jun";136;1;"no"
43522;22;"apr";407;2;"yes"
41468;7;"sep";394;1;"no"
29305;2;"feb";164;2;"no"
12836;7;"jul";78;11;"no"
19966;8;"aug";212;2;"no"
38897;18;"may";297;1;"no"
2228;12;"may";166;2;"no"
524;6;"may";211;1;"no"
8782;4;"jun";355;1;"no"
29761;4;"feb";135;1;"no"
22509;22;"aug";238;6;"no"
42055;29;"oct";215;2;"yes"
1454;8;"may";543;3;"no"
6973;28;"may";173;3;"no"
40790;11;"aug";265;1;"no"
13868;10;"jul";633;1;"no"
42775;28;"jan";130;2;"yes"
3934;16;"may";315;3;"no"
6970;28;"may";52;2;"no"
26899;21;"nov";325;5;"no"
9130;5;"jun";22;1;"no"
32153;15;"apr";668;1;"yes"
21207;18;"aug";92;4;"no"
4563;20;"may";341;1;"no"
21247;18;"aug";341;4;"no"
35114;6;"may";1074;4;"yes"
7154;29;"may";358;1;"no"
22305;21;"aug";794;1;"no"
33292;20;"apr";379;1;"no"
24390;17;"nov";97;1;"no"
2456;13;"may";174;4;"no"
12683;7;"jul";125;2;"no"
5255;23;"may";98;1;"no"
31552;3;"apr";352;1;"no"
24259;17;"nov";231;2;"no"
27533;21;"nov";681;4;"yes"
893;7;"may";294;1;"no"
16010;22;"jul";136;2;"no"
21683;19;"aug";349;4;"no"
17427;28;"jul";234;11;"no"
7572;30;"may";659;1;"no"
1630;9;"may";97;1;"no"
33040;17;"apr";403;4;"no"
14430;14;"jul";377;3;"no"
36923;12;"may";737;3;"yes"
16460;23;"jul";475;2;"no"
13373;9;"jul";183;1;"no"
36313;11;"may";264;1;"no"
11515;19;"jun";176;2;"no"
17366;28;"jul";55;10;"no"
43048;15;"feb";379;1;"yes"
683;6;"may";477;1;"no"
43028;12;"feb";103;3;"no"
1816;9;"may";557;1;"no"
38257;15;"may";267;1;"no"
15154;17;"jul";22;1;"no"
15846;21;"jul";338;3;"no"
40616;4;"aug";642;1;"yes"
5837;26;"may";143;2;"no"
11948;20;"jun";15;3;"no"
36790;12;"may";95;4;"no"
30219;5;"feb";129;4;"no"
34274;4;"may";619;6;"yes"
18232;30;"jul";77;5;"no"
21170;14;"aug";248;2;"no"
39376;22;"may";172;1;"no"
32332;16;"apr";281;1;"no"
44386;3;"aug";248;1;"yes"
39660;27;"may";189;2;"yes"
7348;29;"may";145;2;"no"
428;6;"may";76;1;"no"
10863;17;"jun";61;1;"no"
28803;30;"jan";320;2;"no"
18682;31;"jul";16;4;"no"
27070;21;"nov";161;1;"no"
34934;6;"may";317;1;"no"
43348;23;"mar";128;1;"yes"
13360;8;"jul";183;5;"no"
28541;29;"jan";623;2;"no"
31851;8;"apr";1691;2;"yes"
28399;29;"jan";222;1;"no"
25168;18;"nov";1093;2;"no"
30460;5;"feb";26;8;"no"
1188;8;"may";193;1;"no"
11866;20;"jun";1422;10;"yes"
31213;2;"mar";145;1;"no"
13874;10;"jul";446;1;"no"
31385;24;"mar";89;1;"no"
23070;26;"aug";1223;6;"yes"
21216;18;"aug";71;3;"no"
27446;21;"nov";655;2;"no"
20676;12;"aug";284;7;"no"
7144;29;"may";150;1;"no"
19689;7;"aug";642;3;"no"
12051;20;"jun";13;10;"no"
40959;13;"aug";414;1;"yes"
8485;3;"jun";227;1;"no"
44284;26;"jul";84;1;"no"
32556;17;"apr";199;2;"no"
16652;24;"jul";86;11;"no"
17233;28;"jul";154;2;"no"
36031;11;"may";295;1;"no"
41683;2;"oct";194;2;"yes"
32305;16;"apr";172;1;"no"
24779;18;"nov";54;1;"no"
4738;20;"may";350;4;"no"
2517;13;"may";194;2;"no"
29456;3;"feb";158;5;"no"
362;6;"may";114;2;"no"
14149;11;"jul";128;2;"no"
24838;18;"nov";242;1;"no"
24399;17;"nov";578;1;"no"
4153;19;"may";36;1;"no"
19075;5;"aug";157;1;"no"
37169;13;"may";272;2;"no"
3741;16;"may";134;3;"no"
19493;7;"aug";142;2;"no"
31211;2;"mar";154;1;"yes"
7941;30;"may";97;3;"no"
1767;9;"may";205;1;"no"
27343;21;"nov";380;2;"no"
26396;20;"nov";73;4;"no"
25951;19;"nov";551;1;"no"
14594;15;"jul";178;3;"no"
33853;29;"apr";507;3;"yes"
31776;8;"apr";65;3;"no"
37106;13;"may";66;1;"no"
32475;17;"apr";71;2;"no"
27566;21;"nov";41;4;"no"
39544;26;"may";309;1;"no"
22274;21;"aug";42;3;"no"
41871;19;"oct";131;1;"no"
22752;25;"aug";72;2;"no"
41499;8;"sep";108;2;"yes"
13269;8;"jul";1720;4;"no"
36159;11;"may";256;1;"no"
2580;13;"may";92;1;"no"
28638;29;"jan";235;3;"no"
33631;20;"apr";179;2;"no"
27297;21;"nov";220;1;"no"
21989;20;"aug";156;12;"no"
22268;21;"aug";686;5;"yes"
28005;28;"jan";246;1;"no"
34634;5;"may";113;2;"no"
14646;15;"jul";981;1;"yes"
32419;16;"apr";370;3;"no"
20240;11;"aug";225;4;"no"
21298;18;"aug";124;4;"no"
42251;12;"nov";771;2;"no"
28716;30;"jan";78;2;"no"
14662;15;"jul";167;7;"no"
25098;18;"nov";58;2;"no"
44356;30;"jul";273;1;"no"
3096;14;"may";21;11;"no"
22812;25;"aug";30;4;"no"
40831;11;"aug";97;1;"no"
4353;19;"may";360;2;"no"
39195;18;"may";368;2;"no"
41642;28;"sep";341;3;"yes"
3;5;"may";76;1;"no"
12896;7;"jul";88;1;"no"
3880;16;"may";558;3;"no"
1106;7;"may";244;7;"no"
5548;23;"may";159;3;"no"
9863;9;"jun";100;7;"no"
3567;15;"may";126;2;"no"
27828;28;"jan";155;1;"no"
40071;4;"jun";352;2;"yes"
22251;21;"aug";132;1;"no"
4900;21;"may";264;1;"no"
28600;29;"jan";224;2;"no"
18804;31;"jul";41;6;"no"
26987;21;"nov";113;1;"no"
10981;17;"jun";127;2;"no"
7444;29;"may";39;22;"no"
20910;13;"aug";255;1;"no"
42892;4;"feb";739;1;"yes"
35822;8;"may";763;1;"yes"
42862;3;"feb";185;1;"yes"
17675;29;"jul";81;4;"no"
40012;3;"jun";198;1;"no"
41488;8;"sep";169;1;"yes"
19702;7;"aug";141;3;"no"
8431;3;"jun";166;1;"no"
10266;11;"jun";850;8;"no"
38229;15;"may";665;1;"no"
2679;13;"may";194;2;"no"
38450;15;"may";585;1;"yes"
14142;11;"jul";146;2;"no"
3557;15;"may";75;8;"no"
42016;28;"oct";246;2;"no"
12494;1;"jul";307;2;"no"
9308;5;"jun";451;2;"no"
4102;19;"may";429;1;"no"
31694;7;"apr";345;2;"no"
21916;20;"aug";25;20;"no"
1314;8;"may";63;3;"no"
1027;7;"may";398;1;"no"
13247;8;"jul";165;3;"no"
15548;21;"jul";50;2;"no"
41452;7;"sep";569;4;"yes"
27103;21;"nov";279;1;"no"
15669;21;"jul";118;3;"no"
1194;8;"may";1084;1;"yes"
10172;11;"jun";340;1;"no"
13777;10;"jul";356;1;"no"
12138;20;"jun";709;9;"no"
31170;27;"feb";123;3;"no"
25206;18;"nov";264;2;"no"
32791;17;"apr";157;2;"no"
30437;5;"feb";255;1;"no"
7273;29;"may";263;3;"no"
28417;29;"jan";108;2;"no"
42313;16;"nov";175;1;"yes"
16020;22;"jul";151;2;"no"
14263;14;"jul";194;2;"no"
2367;13;"may";1386;1;"no"
36528;12;"may";123;4;"no"
1496;8;"may";255;6;"no"
15504;18;"jul";126;2;"no"
41007;13;"aug";112;1;"no"
25244;18;"nov";192;2;"no"
7683;30;"may";157;3;"no"
901;7;"may";260;1;"no"
42020;28;"oct";154;1;"no"
22334;22;"aug";586;2;"no"
1581;8;"may";159;3;"no"
4705;20;"may";91;6;"no"
31810;8;"apr";375;2;"no"
1383;8;"may";491;1;"no"
42279;13;"nov";259;1;"yes"
4933;21;"may";542;1;"no"
39098;18;"may";124;1;"no"
39268;18;"may";256;2;"yes"
20873;13;"aug";111;2;"no"
31880;9;"apr";113;1;"no"
12908;7;"jul";227;4;"no"
39979;3;"jun";411;1;"yes"
19901;8;"aug";109;2;"no"
31374;19;"mar";181;1;"no"
16948;25;"jul";113;3;"no"
7412;29;"may";323;3;"no"
35047;6;"may";90;2;"no"
29073;2;"feb";619;1;"no"
10596;16;"jun";226;4;"no"
2301;12;"may";84;3;"no"
37161;13;"may";158;1;"no"
299;5;"may";126;3;"no"
41532;10;"sep";84;3;"yes"
40852;12;"aug";1117;2;"no"
27632;21;"nov";211;7;"no"
42427;7;"dec";69;1;"no"
27176;21;"nov";80;1;"no"
40856;12;"aug";340;2;"no"
32411;16;"apr";792;2;"no"
31539;2;"apr";359;3;"no"
26153;20;"nov";298;2;"no"
12323;26;"jun";198;2;"no"
41429;4;"sep";730;1;"yes"
42450;9;"dec";288;7;"yes"
42339;17;"nov";309;3;"yes"
39181;18;"may";190;8;"no"
19985;8;"aug";388;1;"no"
7896;30;"may";229;3;"no"
39520;25;"may";214;1;"yes"
5898;26;"may";289;1;"no"
35668;8;"may";114;1;"no"
21589;19;"aug";276;2;"no"
17564;29;"jul";162;2;"no"
4767;20;"may";315;1;"no"
25195;18;"nov";123;2;"no"
11212;18;"jun";567;1;"no"
10373;12;"jun";217;1;"no"
8607;3;"jun";277;1;"no"
7947;30;"may";206;3;"no"
11872;20;"jun";81;10;"no"
11477;19;"jun";77;1;"no"
44470;6;"aug";366;2;"yes"
32088;14;"apr";101;5;"no"
34970;6;"may";323;2;"no"
7513;29;"may";421;3;"no"
32599;17;"apr";357;1;"no"
35917;8;"may";422;2;"no"
3459;15;"may";644;1;"no"
15156;17;"jul";345;1;"no"
23126;26;"aug";183;3;"no"
25288;18;"nov";127;4;"no"
28856;30;"jan";402;2;"no"
31995;13;"apr";238;2;"no"
21077;14;"aug";112;2;"no"
31284;9;"mar";116;1;"yes"
6268;27;"may";133;1;"no"
14000;10;"jul";184;3;"no"
10426;12;"jun";138;2;"no"
11588;19;"jun";431;1;"no"
10803;17;"jun";126;1;"no"
1959;9;"may";218;2;"no"
41655;30;"sep";992;2;"yes"
32592;17;"apr";88;1;"no"
1139;7;"may";944;3;"no"
8562;3;"jun";215;3;"no"
34631;5;"may";343;4;"no"
23414;27;"aug";183;5;"no"
24800;18;"nov";144;1;"no"
151;5;"may";163;2;"no"
3813;16;"may";107;1;"no"
24531;17;"nov";219;2;"no"
16187;22;"jul";314;2;"no"
10966;17;"jun";167;2;"no"
38914;18;"may";110;1;"no"
14134;11;"jul";118;2;"no"
34164;30;"apr";230;1;"yes"
26696;20;"nov";73;1;"no"
8843;4;"jun";272;1;"no"
4646;20;"may";97;8;"no"
35831;8;"may";520;2;"no"
7518;30;"may";231;3;"no"
28102;28;"jan";117;3;"no"
25165;18;"nov";265;1;"no"
29466;3;"feb";330;3;"no"
30035;4;"feb";102;2;"no"
10970;17;"jun";256;9;"no"
10406;12;"jun";46;1;"no"
21833;20;"aug";483;2;"no"
28515;29;"jan";70;2;"no"
14587;15;"jul";256;5;"no"
14090;11;"jul";31;2;"no"
30473;5;"feb";82;4;"no"
14419;14;"jul";81;3;"no"
14710;15;"jul";357;4;"no"
37270;13;"may";148;4;"no"
22364;22;"aug";739;2;"yes"
36141;11;"may";138;1;"no"
27338;21;"nov";270;1;"no"
24919;18;"nov";397;1;"no"
10086;11;"jun";442;1;"no"
16268;23;"jul";730;1;"no"
11688;20;"jun";50;5;"no"
29637;3;"feb";667;2;"no"
25370;18;"nov";72;2;"no"
28710;30;"jan";236;1;"no"
8230;2;"jun";142;2;"no"
68;5;"may";273;1;"no"
19164;5;"aug";121;3;"no"
5803;26;"may";127;1;"no"
8630;3;"jun";380;4;"no"
30650;6;"feb";69;3;"no"
15878;21;"jul";105;10;"no"
1645;9;"may";131;1;"no"
21;5;"may";262;1;"no"
2555;13;"may";210;8;"no"
18736;31;"jul";42;5;"no"
43425;6;"apr";122;1;"yes"
5411;23;"may";250;3;"no"
31320;11;"mar";188;3;"yes"
8300;2;"jun";754;2;"no"
35187;7;"may";248;1;"no"
24176;13;"nov";722;1;"no"
11995;20;"jun";78;4;"no"
22816;25;"aug";433;6;"no"
41872;19;"oct";238;1;"no"
25314;18;"nov";58;1;"no"
31411;26;"mar";278;2;"no"
44178;14;"jul";70;1;"no"
44570;16;"aug";140;3;"no"
25053;18;"nov";329;1;"no"
12703;7;"jul";134;2;"no"
15654;21;"jul";730;8;"no"
29546;3;"feb";343;1;"no"
21805;20;"aug";183;4;"no"
14286;14;"jul";66;2;"no"
44574;16;"aug";111;2;"no"
37114;13;"may";902;1;"yes"
31641;6;"apr";294;1;"no"
14362;14;"jul";162;3;"no"
19535;7;"aug";113;2;"no"
16092;22;"jul";82;3;"no"
30956;9;"feb";161;5;"no"
13833;10;"jul";613;1;"no"
44648;1;"sep";20;1;"no"
14921;16;"jul";132;2;"no"
1569;8;"may";37;3;"no"
35715;8;"may";75;1;"no"
43186;2;"mar";185;2;"no"
10505;16;"jun";87;3;"no"
40720;7;"aug";166;1;"yes"
3287;15;"may";116;1;"no"
38851;18;"may";57;1;"no"
39409;22;"may";181;2;"no"
37415;13;"may";402;2;"no"
7180;29;"may";27;1;"no"
8462;3;"jun";21;3;"no"
16901;25;"jul";1000;1;"yes"
9433;6;"jun";141;3;"no"
42929;5;"feb";217;1;"no"
45050;18;"oct";159;2;"no"
8610;3;"jun";183;2;"no"
3290;15;"may";1036;1;"no"
40971;13;"aug";164;1;"no"
36171;11;"may";240;2;"no"
6015;26;"may";304;3;"no"
5474;23;"may";101;5;"no"
3789;16;"may";122;3;"no"
40581;23;"jul";106;3;"no"
2461;13;"may";202;1;"no"
15722;21;"jul";339;1;"no"
18779;31;"jul";15;25;"no"
66;5;"may";91;1;"no"
25537;19;"nov";70;2;"no"
13359;8;"jul";99;9;"no"
12971;7;"jul";422;1;"no"
23982;29;"aug";116;4;"no"
24547;17;"nov";116;2;"no"
36524;12;"may";42;1;"no"
3433;15;"may";525;1;"no"
11393;19;"jun";229;1;"no"
44487;9;"aug";628;1;"yes"
7440;29;"may";18;16;"no"
9861;9;"jun";206;2;"no"
34888;6;"may";10;1;"no"
33952;30;"apr";878;1;"no"
30394;5;"feb";214;1;"no"
23213;27;"aug";199;4;"no"
3791;16;"may";241;1;"no"
43012;11;"feb";671;1;"yes"
25590;19;"nov";925;1;"yes"
37527;13;"may";25;7;"no"
25924;19;"nov";63;1;"no"
29237;2;"feb";115;3;"no"
32730;17;"apr";464;1;"no"
22155;21;"aug";656;2;"no"
5606;23;"may";106;3;"no"
43448;12;"apr";143;1;"no"
11523;19;"jun";202;2;"no"
6731;28;"may";78;4;"no"
6106;27;"may";160;6;"no"
39600;26;"may";69;1;"no"
35179;7;"may";203;1;"no"
31752;7;"apr";353;4;"no"
8282;2;"jun";392;3;"no"
20002;8;"aug";63;2;"no"
39555;26;"may";91;1;"yes"
23942;29;"aug";163;6;"no"
8723;4;"jun";107;2;"no"
22649;25;"aug";87;2;"no"
37023;13;"may";44;9;"no"
34309;4;"may";347;2;"yes"
42065;29;"oct";424;2;"yes"
10220;11;"jun";36;2;"no"
6156;27;"may";162;1;"no"
7049;28;"may";560;9;"yes"
31128;18;"feb";224;3;"yes"
21999;20;"aug";175;2;"no"
14418;14;"jul";619;2;"no"
18212;30;"jul";56;9;"no"
33188;20;"apr";23;4;"no"
31074;13;"feb";299;6;"yes"
33705;21;"apr";164;1;"yes"
43623;4;"may";794;2;"no"
12062;20;"jun";102;3;"no"
35824;8;"may";132;1;"no"
9196;5;"jun";40;2;"no"
42628;12;"jan";387;1;"yes"
36418;11;"may";204;2;"no"
18740;31;"jul";9;23;"no"
38590;15;"may";10;7;"no"
27256;21;"nov";7;8;"no"
36892;12;"may";288;2;"no"
38610;15;"may";391;2;"no"
43222;5;"mar";87;1;"yes"
42238;12;"nov";241;1;"yes"
32897;17;"apr";440;2;"no"
30028;4;"feb";132;6;"no"
21239;18;"aug";138;4;"no"
34233;4;"may";98;4;"no"
31595;3;"apr";100;3;"no"
44634;1;"sep";191;2;"no"
42872;4;"feb";305;2;"yes"
41275;25;"aug";76;1;"no"
19422;6;"aug";492;2;"no"
43894;9;"jun";712;1;"yes"
15909;22;"jul";181;11;"no"
15203;17;"jul";210;2;"no"
32699;17;"apr";997;1;"yes"
5131;21;"may";85;4;"no"
24147;9;"nov";61;1;"no"
3998;16;"may";320;3;"no"
5800;26;"may";273;2;"no"
40381;23;"jun";971;2;"no"
13959;10;"jul";90;9;"no"
30667;6;"feb";117;1;"no"
14081;11;"jul";132;2;"no"
7574;30;"may";96;2;"no"
36927;12;"may";173;8;"no"
6072;26;"may";336;3;"no"
41786;13;"oct";1573;2;"no"
19094;5;"aug";124;4;"no"
32909;17;"apr";73;2;"no"
35180;7;"may";277;1;"no"
41922;21;"oct";512;2;"yes"
13187;8;"jul";716;5;"yes"
6377;27;"may";377;1;"no"
7445;29;"may";144;5;"no"
39133;18;"may";180;3;"no"
757;6;"may";249;3;"no"
10623;16;"jun";348;1;"no"
11044;17;"jun";235;2;"no"
11640;19;"jun";1403;3;"no"
36945;12;"may";57;2;"no"
44275;23;"jul";196;1;"yes"
24735;18;"nov";81;4;"no"
16064;22;"jul";578;1;"no"
42967;9;"feb";385;2;"yes"
1733;9;"may";249;3;"no"
38217;15;"may";373;1;"no"
16340;23;"jul";122;5;"no"
31428;27;"mar";558;1;"no"
20626;12;"aug";127;1;"no"
16169;22;"jul";199;2;"no"
1860;9;"may";282;2;"no"
14298;14;"jul";1397;3;"yes"
6073;26;"may";282;3;"no"
34861;6;"may";59;1;"no"
15079;17;"jul";234;1;"no"
39319;18;"may";28;2;"no"
1403;8;"may";30;2;"no"
44397;3;"aug";392;4;"yes"
15017;17;"jul";317;1;"no"
9759;9;"jun";232;1;"no"
23361;27;"aug";35;13;"no"
13976;10;"jul";290;2;"no"
3781;16;"may";136;1;"no"
28125;29;"jan";145;1;"no"
10658;16;"jun";46;1;"no"
35020;6;"may";91;2;"no"
10175;11;"jun";114;1;"no"
43462;13;"apr";113;3;"no"
14821;16;"jul";586;1;"yes"
16953;25;"jul";98;1;"no"
22425;22;"aug";63;8;"no"
2314;12;"may";249;4;"no"
9161;5;"jun";348;1;"no"
23866;29;"aug";63;2;"no"
34280;4;"may";1046;3;"yes"
16405;23;"jul";588;1;"no"
32992;17;"apr";1064;3;"no"
7722;30;"may";38;5;"no"
22721;25;"aug";342;5;"no"
1535;8;"may";246;3;"no"
12753;7;"jul";559;4;"no"
11127;18;"jun";129;3;"no"
5772;26;"may";77;1;"no"
42730;26;"jan";228;1;"no"
28815;30;"jan";76;2;"no"
38465;15;"may";532;3;"yes"
13452;9;"jul";147;1;"no"
30524;5;"feb";131;3;"no"
9000;5;"jun";222;1;"no"
5628;23;"may";1222;5;"no"
44994;12;"oct";242;1;"no"
42918;5;"feb";280;2;"no"
6529;27;"may";550;7;"no"
14781;16;"jul";95;4;"no"
34315;4;"may";99;2;"no"
22572;22;"aug";79;5;"no"
5933;26;"may";431;2;"yes"
11294;18;"jun";140;3;"no"
16721;24;"jul";624;2;"no"
16974;25;"jul";46;1;"no"
35329;7;"may";362;1;"no"
13506;9;"jul";148;2;"no"
23194;27;"aug";95;6;"no"
33303;20;"apr";372;2;"no"
20200;11;"aug";135;2;"no"
6443;27;"may";160;3;"no"
35006;6;"may";198;2;"no"
31642;6;"apr";173;1;"no"
44331;29;"jul";332;3;"yes"
39039;18;"may";84;1;"no"
23110;26;"aug";119;3;"no"
6770;28;"may";399;1;"no"
39519;25;"may";284;1;"yes"
43542;26;"apr";128;2;"no"
18886;4;"aug";200;1;"no"
23277;27;"aug";103;6;"no"
44011;28;"jun";452;1;"yes"
30146;4;"feb";35;3;"no"
44062;2;"jul";25;1;"yes"
22127;21;"aug";161;2;"no"
33287;20;"apr";246;1;"no"
5529;23;"may";160;3;"no"
26103;19;"nov";314;2;"no"
41727;8;"oct";352;1;"no"
27102;21;"nov";1022;1;"yes"
31010;10;"feb";277;1;"yes"
7015;28;"may";85;3;"no"
13087;8;"jul";85;1;"no"
7446;29;"may";249;2;"no"
20675;12;"aug";913;5;"no"
31931;9;"apr";90;2;"no"
38473;15;"may";303;2;"no"
39059;18;"may";232;1;"no"
32643;17;"apr";264;1;"no"
12557;3;"jul";89;1;"no"
8937;4;"jun";36;4;"no"
41129;18;"aug";65;2;"no"
20850;13;"aug";838;4;"yes"
20819;13;"aug";202;2;"no"
26526;20;"nov";359;1;"no"
10035;9;"jun";154;10;"no"
32114;15;"apr";389;2;"no"
21830;20;"aug";132;4;"no"
18161;30;"jul";100;3;"no"
30490;5;"feb";532;2;"no"
36138;11;"may";91;1;"no"
11107;18;"jun";295;1;"no"
15435;18;"jul";144;1;"no"
20478;12;"aug";74;2;"no"
45053;19;"oct";192;1;"yes"
3418;15;"may";71;2;"no"
26653;20;"nov";267;2;"no"
15796;21;"jul";68;10;"no"
44026;29;"jun";238;1;"no"
11715;20;"jun";114;2;"no"
21396;18;"aug";249;6;"no"
18283;31;"jul";165;4;"no"
8396;3;"jun";272;1;"no"
4226;19;"may";703;1;"no"
37950;14;"may";688;2;"yes"
30461;5;"feb";787;1;"no"
8066;2;"jun";127;1;"no"
998;7;"may";261;1;"no"
37289;13;"may";69;1;"no"
27401;21;"nov";94;7;"no"
8436;3;"jun";170;3;"no"
37965;14;"may";183;3;"no"
40586;27;"jul";506;2;"no"
13710;10;"jul";168;1;"no"
40100;4;"jun";247;2;"no"
37826;14;"may";30;6;"no"
9926;9;"jun";78;2;"no"
39753;1;"jun";324;3;"yes"
29578;3;"feb";298;1;"no"
39782;1;"jun";119;1;"no"
16220;23;"jul";442;2;"no"
44710;6;"sep";8;1;"no"
43403;5;"apr";558;1;"yes"
12706;7;"jul";176;6;"no"
45091;22;"oct";380;1;"yes"
14629;15;"jul";274;1;"no"
3426;15;"may";59;1;"no"
33815;27;"apr";44;3;"no"
9076;5;"jun";627;1;"no"
5652;26;"may";200;2;"no"
17614;29;"jul";25;5;"no"
42733;26;"jan";413;2;"no"
27728;22;"dec";119;1;"yes"
14129;11;"jul";348;2;"no"
40541;8;"jul";243;1;"no"
9053;5;"jun";166;2;"no"
13656;9;"jul";156;1;"no"
17832;29;"jul";397;1;"no"
13180;8;"jul";125;2;"no"
12063;20;"jun";14;12;"no"
22686;25;"aug";99;13;"no"
27490;21;"nov";70;2;"no"
15351;18;"jul";467;1;"no"
24827;18;"nov";231;1;"no"
23829;29;"aug";25;7;"no"
28644;29;"jan";94;2;"no"
44167;14;"jul";18;1;"no"
43049;15;"feb";308;1;"yes"
1590;8;"may";166;3;"no"
18160;30;"jul";96;1;"no"
1264;8;"may";155;1;"no"
16546;24;"jul";430;4;"yes"
38489;15;"may";141;1;"no"
41216;21;"aug";406;1;"no"
10416;12;"jun";312;2;"no"
12962;7;"jul";104;4;"no"
20797;13;"aug";100;2;"no"
